datetime,open,high,low,close,volume
2018-05-29 01:00:00,0.769,0.7708,0.7667,0.7682,0.0
2018-05-30 01:00:00,0.7678,0.7789,0.7671,0.7764,0.0
2018-05-31 01:00:00,0.776,0.7799,0.77,0.7713,0.0
2018-06-01 01:00:00,0.7713,0.7731,0.7694,0.7716,0.0
2018-06-04 01:00:00,0.7712,0.7749,0.7712,0.7733,0.0
2018-06-05 01:00:00,0.7729,0.7741,0.7656,0.7708,0.0
2018-06-06 01:00:00,0.7705,0.7773,0.7705,0.772,0.0
2018-06-07 01:00:00,0.772,0.7729,0.7694,0.7702,0.0
2018-06-08 01:00:00,0.7702,0.7737,0.7678,0.7733,0.0
2018-06-11 01:00:00,0.7733,0.7733,0.7678,0.7699,0.0
2018-06-12 01:00:00,0.7695,0.7703,0.7677,0.7679,0.0
2018-06-13 01:00:00,0.7679,0.7716,0.7665,0.7703,0.0
2018-06-14 01:00:00,0.7699,0.772,0.7629,0.7629,0.0
2018-06-15 01:00:00,0.7626,0.7631,0.7569,0.7569,0.0
2018-06-18 01:00:00,0.7569,0.7597,0.7557,0.7575,0.0
2018-06-19 01:00:00,0.7572,0.7575,0.7525,0.7526,0.0
2018-06-20 01:00:00,0.7523,0.7535,0.7508,0.7508,0.0
2018-06-21 01:00:00,0.7508,0.7524,0.7502,0.7507,0.0
2018-06-22 01:00:00,0.7504,0.7539,0.7481,0.7531,0.0
2018-06-25 01:00:00,0.7531,0.7539,0.7507,0.7523,0.0
2018-06-26 01:00:00,0.7519,0.7527,0.7504,0.7517,0.0
2018-06-27 01:00:00,0.7512,0.7529,0.7473,0.75,0.0
2018-06-28 01:00:00,0.7497,0.7549,0.7492,0.7541,0.0
2018-06-29 01:00:00,0.7538,0.7614,0.7538,0.761,0.0
2018-07-02 01:00:00,0.7606,0.7611,0.7563,0.7577,0.0
2018-07-03 01:00:00,0.7577,0.7613,0.7573,0.7606,0.0
2018-07-04 01:00:00,0.7602,0.7625,0.76,0.7607,0.0
2018-07-05 01:00:00,0.7604,0.7623,0.7601,0.761,0.0
2018-07-06 01:00:00,0.7607,0.7645,0.7606,0.7639,0.0
2018-07-09 01:00:00,0.7639,0.7652,0.7622,0.7623,0.0
2018-07-10 01:00:00,0.7619,0.763,0.7609,0.7614,0.0
2018-07-11 01:00:00,0.7611,0.7652,0.7565,0.7565,0.0
2018-07-12 01:00:00,0.7563,0.7602,0.7563,0.7596,0.0
2018-07-13 01:00:00,0.7593,0.7602,0.7573,0.7595,0.0
2018-07-16 01:00:00,0.7595,0.7626,0.7595,0.7609,0.0
2018-07-17 01:00:00,0.7605,0.7625,0.7567,0.7576,0.0
2018-07-18 01:00:00,0.7573,0.7595,0.7544,0.7592,0.0
2018-07-19 01:00:00,0.7592,0.7597,0.7526,0.7536,0.0
2018-07-20 01:00:00,0.7533,0.7622,0.7526,0.7601,0.0
2018-07-23 01:00:00,0.7606,0.7623,0.7589,0.759,0.0
2018-07-24 01:00:00,0.7586,0.7611,0.7583,0.7595,0.0
2018-07-25 01:00:00,0.7595,0.7676,0.7595,0.7663,0.0
2018-07-26 01:00:00,0.7661,0.7676,0.764,0.7646,0.0
2018-07-27 01:00:00,0.7642,0.7663,0.7642,0.7656,0.0
2018-07-30 01:00:00,0.7656,0.7694,0.7648,0.7672,0.0
2018-07-31 01:00:00,0.7668,0.7697,0.7641,0.7683,0.0
2018-08-01 01:00:00,0.768,0.7705,0.7675,0.769,0.0
2018-08-02 01:00:00,0.7686,0.7694,0.7671,0.7677,0.0
2018-08-03 01:00:00,0.7674,0.7708,0.7671,0.7693,0.0
