,global_m2
1955-01-01,34304385595.020172
1955-02-01,34601764053.39754
1955-03-01,34784618121.655464
1955-04-01,35264850648.290764
1955-05-01,35660392869.62765
1955-06-01,36065558989.2939
1955-07-01,36618933143.23236
1955-08-01,37373446772.25455
1955-09-01,37549564111.68192
1955-10-01,38239597621.89736
1955-11-01,38754476182.51837
1955-12-01,39437772963.90326
1956-01-01,39853525371.73181
1956-02-01,40541634102.28138
1956-03-01,41145052527.53254
1956-04-01,41660893477.98649
1956-05-01,42427918174.836845
1956-06-01,43427841211.25783
1956-07-01,44084191077.320496
1956-08-01,44876237909.8272
1956-09-01,45836702963.09779
1956-10-01,46379490828.873955
1956-11-01,47269701424.34019
1956-12-01,48162799189.30522
1957-01-01,49071295191.59724
1957-02-01,49619857396.371025
1957-03-01,50418640957.70828
1957-04-01,51159681129.06936
1957-05-01,51835278791.79076
1957-06-01,52215422775.80066
1957-07-01,52728376556.75579
1957-08-01,53232668829.2145
1957-09-01,53517536219.763695
1957-10-01,54371176001.57833
1957-11-01,54896640850.36164
1957-12-01,55417293749.98027
1958-01-01,56114063989.02627
1958-02-01,56756940397.42782
1958-03-01,57380569009.17065
1958-04-01,58397815062.58449
1958-05-01,58855912623.06224
1958-06-01,59871233896.81021
1958-07-01,61027064086.1669
1958-08-01,61993303478.43511
1958-09-01,63036534057.338234
1958-10-01,64022983636.09811
1958-11-01,65327984249.55995
1958-12-01,65974710217.29325
1959-01-01,352794135099.20276
1959-02-01,355584091645.8392
1959-03-01,358523826835.9121
1959-04-01,360210099329.4212
1959-05-01,363540995925.74695
1959-06-01,366433219843.50446
1959-07-01,368598585388.5651
1959-08-01,369961229270.33136
1959-09-01,372396772309.6174
1959-10-01,373430556075.4419
1959-11-01,375243167264.9419
1959-12-01,377160590403.6065
1960-01-01,378823245864.4191
1960-02-01,380088611409.4798
1960-03-01,382323446107.7627
1960-04-01,384141654551.00946
1960-05-01,386420847724.2328
1960-06-01,389069067337.5514
1960-07-01,392200052476.5025
1960-08-01,396613017836.504
1960-09-01,399709622569.3456
1960-10-01,402389866675.0273
1960-11-01,405482710391.1625
1960-12-01,408440730988.0613
1961-01-01,411991406636.7981
1961-02-01,416596241744.0555
1961-03-01,420168963816.32446
1961-04-01,423712991278.8561
1961-05-01,427484485333.41595
1961-06-01,431478468524.6349
1961-07-01,434053635053.27576
1961-08-01,437472197667.02405
1961-09-01,440612718161.6792
1961-10-01,443564875876.9549
1961-11-01,447337332321.34766
1961-12-01,450193770730.03577
1962-01-01,454420740803.4507
1962-02-01,458314192738.91736
1962-03-01,462112976300.2546
1962-04-01,467037324832.04694
1962-05-01,471178642210.33057
1962-06-01,474243222450.8091
1962-07-01,477934584100.4054
1962-08-01,482025857207.37634
1962-09-01,486238302890.6719
1962-10-01,491176213422.7507
1962-11-01,496347719056.35693
1962-12-01,501794202554.30676
1963-01-01,506873407306.57654
1963-02-01,512259437330.3022
1963-03-01,517931208591.78455
1963-04-01,523212426666.3456
1963-05-01,529010270995.9426
1963-06-01,534314852054.37024
1963-07-01,539987674248.31104
1963-08-01,544526015914.47046
1963-09-01,550741891602.0635
1963-10-01,555495023286.2185
1963-11-01,561003796495.4331
1963-12-01,565754572265.8417
1964-01-01,569808312169.3281
1964-02-01,573887682427.8022
1964-03-01,579056655062.4111
1964-04-01,583094122881.363
1964-05-01,587684433598.5011
1964-06-01,592693029722.4648
1964-07-01,597945021931.5361
1964-08-01,603331483089.3424
1964-09-01,609216285095.359
1964-10-01,613513332541.3275
1964-11-01,618739428767.5349
1964-12-01,623699120095.2698
1965-01-01,629268878034.4609
1965-02-01,635086844007.9243
1965-03-01,640618106353.798
1965-04-01,645383837648.4065
1965-05-01,649982555825.2112
1965-06-01,655958265188.6508
1965-07-01,660827403329.4641
1965-08-01,667396033372.6179
1965-09-01,674488457533.719
1965-10-01,680502573947.8506
1965-11-01,686979599871.6245
1965-12-01,694091448914.6351
1966-01-01,699972058769.8647
1966-02-01,705379349912.5404
1966-03-01,713310989587.0084
1966-04-01,716520625064.3842
1966-05-01,720969044921.0463
1966-06-01,725097685725.2974
1966-07-01,727815740241.386
1966-08-01,733424005352.941
1966-09-01,740004272616.7155
