,close
1982-07-01,114630000000.0
1982-08-01,115846000000.0
1982-09-01,117182000000.0
1982-10-01,122654000000.0
1982-11-01,123424000000.0
1982-12-01,125066000000.0
1983-01-01,126152000000.0
1983-02-01,128143000000.0
1983-03-01,129431000000.0
1983-04-01,130030000000.0
1983-05-01,131060000000.0
1983-06-01,132593000000.0
1983-07-01,133410000000.0
1983-08-01,134365000000.0
1983-09-01,135529000000.0
1983-10-01,137352000000.0
1983-11-01,138645000000.0
1983-12-01,140279000000.0
1984-01-01,141525000000.0
1984-02-01,142959000000.0
1984-03-01,144411000000.0
1984-04-01,145842000000.0
1984-05-01,147473000000.0
1984-06-01,148524000000.0
1984-07-01,149507000000.0
1984-08-01,149708000000.0
1984-09-01,151682000000.0
1984-10-01,153300000000.0
1984-11-01,156036000000.0
1984-12-01,157007000000.0
1985-01-01,158255000000.0
1985-02-01,159787000000.0
1985-03-01,160978000000.0
1985-04-01,162662000000.0
1985-05-01,163765000000.0
1985-06-01,164996000000.0
1985-07-01,166885000000.0
1985-08-01,169161000000.0
1985-09-01,170836000000.0
1985-10-01,172568000000.0
1985-11-01,175096000000.0
1985-12-01,176452000000.0
1986-01-01,179205000000.0
1986-02-01,180844000000.0
1986-03-01,182622000000.0
1986-04-01,184691000000.0
1986-05-01,186066000000.0
1986-06-01,188966000000.0
1986-07-01,192084000000.0
1986-08-01,191845000000.0
1986-09-01,195079000000.0
1986-10-01,195753000000.0
1986-11-01,197060000000.0
1986-12-01,199225000000.0
1987-01-01,200539000000.0
1987-02-01,200885000000.0
1987-03-01,202503000000.0
1987-04-01,204810000000.0
1987-05-01,206662000000.0
1987-06-01,209481000000.0
1987-07-01,210725000000.0
1987-08-01,212318000000.0
1987-09-01,213582000000.0
1987-10-01,215823000000.0
1987-11-01,218327000000.0
1987-12-01,219751000000.0
1988-01-01,222674000000.0
1988-02-01,225114000000.0
1988-03-01,228820000000.0
1988-04-01,231063000000.0
1988-05-01,234071000000.0
1988-06-01,237886000000.0
1988-07-01,240918000000.0
1988-08-01,244172000000.0
1988-09-01,247829000000.0
1988-10-01,250807000000.0
1988-11-01,252524000000.0
1988-12-01,255244000000.0
1989-01-01,257491000000.0
1989-02-01,260680000000.0
1989-03-01,262573000000.0
1989-04-01,264931000000.0
1989-05-01,267605000000.0
1989-06-01,262116000000.0
1989-07-01,264899000000.0
1989-08-01,267639000000.0
1989-09-01,270973000000.0
1989-10-01,273402000000.0
1989-11-01,276630000000.0
1989-12-01,278695000000.0
1990-01-01,280301000000.0
1990-02-01,283904000000.0
1990-03-01,286745000000.0
1990-04-01,290397000000.0
1990-05-01,291644000000.0
1990-06-01,296174000000.0
1990-07-01,298597000000.0
1990-08-01,299125000000.0
1990-09-01,303408000000.0
1990-10-01,305175000000.0
1990-11-01,304727000000.0
1990-12-01,308616000000.0
1991-01-01,312331000000.0
1991-02-01,314222000000.0
1991-03-01,317248000000.0
1991-04-01,320428000000.0
