observation_date,close
1996-12-01,288300000000
1997-01-01,289900000000
1997-02-01,299500000000
1997-03-01,305800000000
1997-04-01,317800000000
1997-05-01,328400000000
1997-06-01,352000000000
1997-07-01,363000000000
1997-08-01,364600000000
1997-09-01,363000000000
1997-10-01,368800000000
1997-11-01,357400000000
1997-12-01,374100000000
1998-01-01,364900000000
1998-02-01,366900000000
1998-03-01,364700000000
1998-04-01,372600000000
1998-05-01,375700000000
1998-06-01,374500000000
1998-07-01,365600000000
1998-08-01,350500000000
1998-09-01,374100000000
1998-10-01,386900000000
1998-11-01,407400000000
1998-12-01,453700000000
1999-01-01,450600000000
1999-02-01,471300000000
1999-03-01,482200000000
1999-04-01,518800000000
1999-05-01,553700000000
1999-06-01,581500000000
1999-07-01,596000000000
1999-08-01,605700000000
1999-09-01,611900000000
1999-10-01,639400000000
1999-11-01,663500000000
1999-12-01,714600000000
2000-01-01,709600000000
2000-02-01,742000000000
2000-03-01,768400000000
2000-04-01,802500000000
2000-05-01,850100000000
2000-06-01,905800000000
2000-07-01,950500000000
2000-08-01,977600000000
2000-09-01,1008800000000
2000-10-01,1016400000000
2000-11-01,1054600000000
2000-12-01,1154400000000
2001-01-01,1095100000000
2001-02-01,1124200000000
2001-03-01,1165000000000
2001-04-01,1224900000000
2001-05-01,1247100000000
2001-06-01,1305400000000
2001-07-01,1340900000000
2001-08-01,1377700000000
2001-09-01,1425900000000
2001-10-01,1453800000000
2001-11-01,1452900000000
2001-12-01,1612600000000
2002-01-01,1515600000000
2002-02-01,1537000000000
2002-03-01,1578700000000
2002-04-01,1635100000000
2002-05-01,1704700000000
2002-06-01,1768600000000
2002-07-01,1794600000000
2002-08-01,1828300000000
2002-09-01,1863600000000
2002-10-01,1905100000000
2002-11-01,1949400000000
2002-12-01,2134500000000
2003-01-01,2042400000000
2003-02-01,2125400000000
2003-03-01,2226400000000
2003-04-01,2330900000000
2003-05-01,2453700000000
2003-06-01,2626800000000
2003-07-01,2646100000000
2003-08-01,2704800000000
2003-09-01,2752800000000
2003-10-01,2761800000000
2003-11-01,2843700000000
2003-12-01,3212600000000
2004-01-01,3214100000000
2004-02-01,3335500000000
2004-03-01,3421200000000
2004-04-01,3483500000000
2004-05-01,3525000000000
2004-06-01,3684700000000
2004-07-01,3634500000000
2004-08-01,3657900000000
2004-09-01,3726100000000
2004-10-01,3798100000000
2004-11-01,3938700000000
2004-12-01,4363300000000
2005-01-01,4190300000000
2005-02-01,4311400000000
2005-03-01,4474600000000
2005-04-01,4586800000000
2005-05-01,4688600000000
2005-06-01,4927400000000
2005-07-01,4985700000000
2005-08-01,5133900000000
2005-09-01,5292200000000
2005-10-01,5313900000000
2005-11-01,5436100000000
2005-12-01,6044700000000
2006-01-01,5842700000000
2006-02-01,5919300000000
2006-03-01,6169400000000
2006-04-01,6360100000000
2006-05-01,6692800000000
2006-06-01,7090800000000
2006-07-01,7228900000000
2006-08-01,7447200000000
2006-09-01,7750700000000
2006-10-01,7766400000000
2006-11-01,8014100000000
2006-12-01,8970700000000
2007-01-01,8674900000000
2007-02-01,8873400000000
2007-03-01,9381700000000
2007-04-01,9964300000000
2007-05-01,10673000000000
2007-06-01,10827400000000
2007-07-01,10888400000000
2007-08-01,11128500000000
2007-09-01,11461800000000
2007-10-01,11382200000000
2007-11-01,11756000000000
2007-12-01,12869000000000
2008-01-01,12509700000000
2008-02-01,12662900000000
2008-03-01,12973800000000
2008-04-01,12944400000000
2008-05-01,13312800000000
2008-06-01,13841200000000
2008-07-01,13842600000000
2008-08-01,14196600000000
2008-09-01,14045700000000
2008-10-01,13173100000000
2008-11-01,12839200000000
2008-12-01,12975900000000
2009-01-01,11430900000000
2009-02-01,11465100000000
2009-03-01,11581600000000
2009-04-01,11838700000000
2009-05-01,12331600000000
2009-06-01,12650500000000
2009-07-01,12618100000000
2009-08-01,12797300000000
2009-09-01,13101900000000
2009-10-01,13376900000000
2009-11-01,13713300000000
2009-12-01,15267600000000
2010-01-01,14904100000000
2010-02-01,15236400000000
2010-03-01,15639400000000
2010-04-01,16098600000000
2010-05-01,16470600000000
2010-06-01,16900900000000
2010-07-01,17063300000000
2010-08-01,17437700000000
2010-09-01,17690200000000
2010-10-01,17848300000000
2010-11-01,18264900000000
2010-12-01,20011900000000
2011-01-01,19307700000000
2011-02-01,19536700000000
2011-03-01,19788700000000
2011-04-01,20020800000000
2011-05-01,20160900000000
2011-06-01,20721900000000
2011-07-01,20828100000000
2011-08-01,21061900000000
2011-09-01,21480400000000
2011-10-01,21366700000000
2011-11-01,21920000000000
2011-12-01,24204800000000
2012-01-01,23349100000000
2012-02-01,23542500000000
2012-03-01,23747800000000
